column_0,dstid,sourceid,day,total_records,total_duration,total_squares_duration,total_log_duration,total_squares_log_duration,geoid10,X_geojson,day1_geom,day2_geom
4,4,567,5,137,50812,27194268,783.472477312153,4546.30960024991,42003260900,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}"
5,4,567,12,157,62372,34352538,916.751143506374,5394.92882684117,42003260900,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}",
6,5,567,12,100,61056,52809740,626.392791472251,3952.76684256185,42003090100,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}",
7,5,567,5,94,54121,39914375,585.895302157914,3674.0570332029,42003090100,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}"
8,6,567,12,372,112378,64859968,2022.62810694219,11189.5937247816,42003980600,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}",
9,6,567,5,289,92398,47096902,1588.49981112858,8908.87086469665,42003980600,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}"
43,35,567,5,146,89088,63807746,925.129694891211,5884.93304530835,42003140100,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.949244,40.441345],[-79.947565,40.443406],[-79.946903,40.444514],[-79.946584,40.444911],[-79.947188,40.447115],[-79.946867,40.447143],[-79.938838,40.447686],[-79.937291,40.447792],[-79.936387,40.447534],[-79.934012,40.44685],[-79.930237,40.445197],[-79.927925,40.444121],[-79.927784,40.440901],[-79.927714,40.438039],[-79.934033,40.437707],[-79.936216,40.437623],[-79.940846,40.438967],[-79.942176,40.440444],[-79.947009,40.441483],[-79.948409,40.44086],[-79.948953,40.44118],[-79.949244,40.441345]]]]},""properties"":{""MOVEMENT_ID"":""35"",""DISPLAY_NAME"":""5100 Forbes Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140100""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.949244,40.441345],[-79.947565,40.443406],[-79.946903,40.444514],[-79.946584,40.444911],[-79.947188,40.447115],[-79.946867,40.447143],[-79.938838,40.447686],[-79.937291,40.447792],[-79.936387,40.447534],[-79.934012,40.44685],[-79.930237,40.445197],[-79.927925,40.444121],[-79.927784,40.440901],[-79.927714,40.438039],[-79.934033,40.437707],[-79.936216,40.437623],[-79.940846,40.438967],[-79.942176,40.440444],[-79.947009,40.441483],[-79.948409,40.44086],[-79.948953,40.44118],[-79.949244,40.441345]]]]},""properties"":{""MOVEMENT_ID"":""35"",""DISPLAY_NAME"":""5100 Forbes Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140100""}}"
44,35,567,12,202,147903,130277497,1314.06570824405,8583.8639754407,42003140100,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.949244,40.441345],[-79.947565,40.443406],[-79.946903,40.444514],[-79.946584,40.444911],[-79.947188,40.447115],[-79.946867,40.447143],[-79.938838,40.447686],[-79.937291,40.447792],[-79.936387,40.447534],[-79.934012,40.44685],[-79.930237,40.445197],[-79.927925,40.444121],[-79.927784,40.440901],[-79.927714,40.438039],[-79.934033,40.437707],[-79.936216,40.437623],[-79.940846,40.438967],[-79.942176,40.440444],[-79.947009,40.441483],[-79.948409,40.44086],[-79.948953,40.44118],[-79.949244,40.441345]]]]},""properties"":{""MOVEMENT_ID"":""35"",""DISPLAY_NAME"":""5100 Forbes Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140100""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.949244,40.441345],[-79.947565,40.443406],[-79.946903,40.444514],[-79.946584,40.444911],[-79.947188,40.447115],[-79.946867,40.447143],[-79.938838,40.447686],[-79.937291,40.447792],[-79.936387,40.447534],[-79.934012,40.44685],[-79.930237,40.445197],[-79.927925,40.444121],[-79.927784,40.440901],[-79.927714,40.438039],[-79.934033,40.437707],[-79.936216,40.437623],[-79.940846,40.438967],[-79.942176,40.440444],[-79.947009,40.441483],[-79.948409,40.44086],[-79.948953,40.44118],[-79.949244,40.441345]]]]},""properties"":{""MOVEMENT_ID"":""35"",""DISPLAY_NAME"":""5100 Forbes Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140100""}}",
48,40,567,12,59,49708,57220650,387.492421801772,2568.60369891816,42003981000,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.957619,40.476127],[-79.955699,40.478347],[-79.954861,40.477795],[-79.95439,40.477466],[-79.951311,40.477456],[-79.949207,40.478161],[-79.948944,40.478173],[-79.947058,40.477612],[-79.944414,40.478645],[-79.942716,40.477479],[-79.938371,40.474117],[-79.938207,40.474095],[-79.937107,40.474149],[-79.935075,40.47256],[-79.939082,40.473081],[-79.944495,40.471634],[-79.947382,40.468447],[-79.946808,40.46751],[-79.946116,40.466964],[-79.946446,40.465466],[-79.948068,40.465698],[-79.948099,40.465702],[-79.95193,40.46617],[-79.951802,40.467364],[-79.953866,40.468348],[-79.954786,40.46888],[-79.954153,40.471294],[-79.958046,40.473859],[-79.957619,40.476127]]]]},""properties"":{""MOVEMENT_ID"":""40"",""DISPLAY_NAME"":""Allegheny Memorial Trail, Lawrenceville, Pittsburgh"",""GEOID10"":""42003981000""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.957619,40.476127],[-79.955699,40.478347],[-79.954861,40.477795],[-79.95439,40.477466],[-79.951311,40.477456],[-79.949207,40.478161],[-79.948944,40.478173],[-79.947058,40.477612],[-79.944414,40.478645],[-79.942716,40.477479],[-79.938371,40.474117],[-79.938207,40.474095],[-79.937107,40.474149],[-79.935075,40.47256],[-79.939082,40.473081],[-79.944495,40.471634],[-79.947382,40.468447],[-79.946808,40.46751],[-79.946116,40.466964],[-79.946446,40.465466],[-79.948068,40.465698],[-79.948099,40.465702],[-79.95193,40.46617],[-79.951802,40.467364],[-79.953866,40.468348],[-79.954786,40.46888],[-79.954153,40.471294],[-79.958046,40.473859],[-79.957619,40.476127]]]]},""properties"":{""MOVEMENT_ID"":""40"",""DISPLAY_NAME"":""Allegheny Memorial Trail, Lawrenceville, Pittsburgh"",""GEOID10"":""42003981000""}}",
53,44,567,12,66,49418,45178572,430.949605805201,2824.54961496597,42003421200,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.902145,40.499766],[-79.90105,40.500391],[-79.899394,40.497146],[-79.900016,40.496101],[-79.897867,40.495135],[-79.896813,40.493005],[-79.897649,40.492996],[-79.901712,40.493658],[-79.902145,40.499766]]],[[[-79.937654,40.534152],[-79.927121,40.534271],[-79.927146,40.535857],[-79.913097,40.536165],[-79.914476,40.531035],[-79.911375,40.531123],[-79.913071,40.53036],[-79.911609,40.528736],[-79.911809,40.527092],[-79.915015,40.526998],[-79.914676,40.519693],[-79.914586,40.517734],[-79.914079,40.508597],[-79.912902,40.507761],[-79.911289,40.508672],[-79.908577,40.508737],[-79.908318,40.503806],[-79.902356,40.503978],[-79.902229,40.50024],[-79.908065,40.500071],[-79.907835,40.495377],[-79.908757,40.495575],[-79.908771,40.495104],[-79.916836,40.496506],[-79.925416,40.497292],[-79.925417,40.497396],[-79.925491,40.49905],[-79.927363,40.497671],[-79.935572,40.497218],[-79.936072,40.49728],[-79.93664,40.512128],[-79.937654,40.534152]]]]},""properties"":{""MOVEMENT_ID"":""44"",""DISPLAY_NAME"":""100 Richmond Drive, Pittsburgh"",""GEOID10"":""42003421200""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.902145,40.499766],[-79.90105,40.500391],[-79.899394,40.497146],[-79.900016,40.496101],[-79.897867,40.495135],[-79.896813,40.493005],[-79.897649,40.492996],[-79.901712,40.493658],[-79.902145,40.499766]]],[[[-79.937654,40.534152],[-79.927121,40.534271],[-79.927146,40.535857],[-79.913097,40.536165],[-79.914476,40.531035],[-79.911375,40.531123],[-79.913071,40.53036],[-79.911609,40.528736],[-79.911809,40.527092],[-79.915015,40.526998],[-79.914676,40.519693],[-79.914586,40.517734],[-79.914079,40.508597],[-79.912902,40.507761],[-79.911289,40.508672],[-79.908577,40.508737],[-79.908318,40.503806],[-79.902356,40.503978],[-79.902229,40.50024],[-79.908065,40.500071],[-79.907835,40.495377],[-79.908757,40.495575],[-79.908771,40.495104],[-79.916836,40.496506],[-79.925416,40.497292],[-79.925417,40.497396],[-79.925491,40.49905],[-79.927363,40.497671],[-79.935572,40.497218],[-79.936072,40.49728],[-79.93664,40.512128],[-79.937654,40.534152]]]]},""properties"":{""MOVEMENT_ID"":""44"",""DISPLAY_NAME"":""100 Richmond Drive, Pittsburgh"",""GEOID10"":""42003421200""}}",
